the,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
of,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
and,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a,a metric unit of length equal to one ten billionth of a meter (or 0.0001 micron); used to specify wavelengths of electromagnetic radiation,any of several fat-soluble vitamins essential for normal vision; prevents night blindness or inflammation or dryness of the eyes,one of the four nucleotides used in building DNA; all four nucleotides have a common phosphate group and a sugar (ribose),(biochemistry) purine base found in DNA and RNA; pairs with thymine in DNA and with uracil in RNA,"the basic unit of electric current adopted under the Systeme International d'Unites; ""a typical household circuit carries 15 to 50 amps""",the 1st letter of the Roman alphabet,the blood group whose red cells carry the A antigen,,,,,,,,,,,,,,,,,,,,,,,,,,
is,"have the quality of being; (copula, used with an adjective or a predicate noun); ""John is rich""; ""This is not a good answer""","be identical to; be someone or something; ""The president of the company is John Smith""; ""This is my house""","occupy a certain position or area; be somewhere; ""Where is my umbrella?"" ""The toolshed is in the back""; ""What is behind this behavior?""","have an existence, be extant; ""Is there a God?""","happen, occur, take place; ""I lost my wallet; this was during the visit to my parents' house""; ""There were two hundred people at his funeral""; ""There was a lot of noise in the kitchen""","be identical or equivalent to; ""One dollar equals 1,000 rubles these days!""","form or compose; ""This money is my only income""; ""The stone wall was the backdrop for the performance""; ""These constitute my entire belonging""; ""The children made up the chorus""; ""This sum represents my entire income for a year""; ""These few men comprise his entire army""","work in a specific place, with a specific subject, or in a specific function; ""He is a herpetologist""; ""She is our resident philosopher""","represent, as of a character on stage; ""Derek Jacobi was Hamlet""","spend or use time; ""I may be an hour""","have life, be alive; ""Our great leader is no more""; ""My grandfather lived until the end of war""","to remain unmolested, undisturbed, or uninterrupted -- used only in infinitive form; ""let her be""","be priced at; ""These shoes cost $100""",,,,,,,,,,,,,,,,,,,,
as,a very poisonous metallic element that has three allotropic forms; arsenic and arsenic compounds are used as herbicides and insecticides and various alloys; found in arsenopyrite and orpiment and realgar,a United States territory on the eastern part of the island of Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
at,a highly unstable radioactive element (the heaviest of the halogen series); a decay product of uranium and thorium,100 at equal 1 kip in Laos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
by,"so as to pass a given point; ""every hour a train goes past""","in reserve; not for immediate use; ""started setting aside money to buy a car""; ""put something by for her old age""; ""has a nest egg tucked away for a rainy day""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
this,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
we,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
you,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
do,an uproarious party,the syllable naming the first (tonic) note of any major scale in solmization,doctor's degree in osteopathy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
from,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
or,a state in northwestern United States on the Pacific,"a room in a hospital equipped for the performance of surgical operations; ""great care is taken to keep the operating rooms aseptic""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
an,an associate degree in nursing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
but,"and nothing more; ""I was merely asking""; ""it is simply a matter of time""; ""just a scratch""; ""he was only a child""; ""hopes that last but a moment""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
which,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
would,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
say,"the chance to speak; ""let him have his say""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
all,"to a complete degree or to the full or entire extent (`whole' is often used informally for `wholly'); ""he was wholly convinced""; ""entirely satisfied with the meal""; ""it was completely different from what we expected""; ""was completely at fault""; ""a totally new situation""; ""the directions were all wrong""; ""it was not altogether her fault""; ""an altogether new approach""; ""a whole new idea""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
one,"the smallest whole number or a numeral representing this number; ""he has the one but will need a two and three to go with it""; ""they had lunch at one""","a single person or thing; ""he is the best one""; ""this is the one I ordered""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
will,"the capability of conscious choice and decision and intention; ""the exercise of their volition we construe as revolt""- George Meredith","a fixed and persistent intent or purpose; ""where there's a will there's a way""",a legal document declaring a person's wishes regarding the disposal of their property when they die,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
there,"a location other than here; that place; ""you can take it from there""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
that,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
who,a United Nations agency to coordinate international health activities and to help governments improve health services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
make,"a recognizable kind; ""there's a new brand of hero in the movies now""; ""what make of car is that?""",the act of mixing cards haphazardly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
when,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
if,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
man,"an adult person who is male (as opposed to a woman); ""there were two women and six men on the bus""","someone who serves in the armed forces; a member of a military force; ""two men stood sentry duty""","the generic use of the word to refer to any human being; ""it was every man for himself""","any living or extinct member of the family Hominidae characterized by superior intelligence, articulate speech, and erect carriage","a male subordinate; ""the chief stationed two men outside the building""; ""he awaited word from his man in Havana""","an adult male person who has a manly character (virile and courageous competent); ""the army will make a man of you""","a manservant who acts as a personal attendant to his employer; ""Jeeves was Bertie Wooster's man""","a male person who plays a significant role (husband or lover or boyfriend) in the life of a particular woman; ""she takes good care of her man""",one of the British Isles in the Irish Sea,"game equipment consisting of an object used in playing certain board games; ""he taught me to set up the men on the chess board""; ""he sacrificed a piece to get a strategic advantage""","all of the living human inhabitants of the earth; ""all the world loves a lover""; ""she always used `humankind' because `mankind' seemed to slight the women""",,,,,,,,,,,,,,,,,,,,,,
can,airtight sealed metal container for food or drink or paint etc.,the quantity contained in a can,a buoy with a round bottom and conical top,"the fleshy part of the human body that you sit on; ""he deserves a good kick in the butt""; ""are you going to sit on your fanny and do nothing?""",a plumbing fixture for defecation and urination,a room or building equipped with one or more toilets,,,,,,,,,,,,,,,,,,,,,,,,,,,
what,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no,"a negative; ""his no was loud and clear""",a radioactive transuranic element synthesized by bombarding curium with carbon ions; 7 isotopes are known,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
go,"a time for working (after which you will be relieved by someone else); ""it's my go""; ""a spell of work""",street names for methylenedioxymethamphetamine,"a usually brief attempt; ""he took a crack at it""; ""I gave it a whirl""",a board game for two players who place counters on a grid; the object is to surround and so capture the opponent's counters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
time,"an instance or single occasion for some event; ""this time he succeeded""; ""he called four times""; ""he could do ten at a clip""","a period of time considered as a resource under your control and sufficient to accomplish something; ""take time to smell the roses""; ""I didn't have time to finish""; ""it took more than half my time""","an indefinite period (usually marked by specific attributes or activities); ""he waited a long time""; ""the time of year for planting""; ""he was a great actor in his time""","a suitable moment; ""it is time to go""",the continuum of experience in which events pass from the future through the present to the past,"a person's experience on a particular occasion; ""he had a time holding back the tears""; ""they had a good time together""","a reading of a point in time as given by a clock; ""do you know what time it is?""; ""the time is 10 o'clock""",the fourth coordinate that is required (along with three spatial dimensions) to specify a physical event,rhythm as given by division into parts of equal duration,"the period of time a prisoner is imprisoned; ""he served a prison term of 15 months""; ""his sentence was 5 to 10 years""; ""he is doing time in the county jail""",,,,,,,,,,,,,,,,,,,,,,,
up,"spatially or metaphorically from a lower to a higher position; ""look up!""; ""the music surged up""; ""the fragments flew upwards""; ""prices soared upwards""; ""upwardly mobile""","to a higher intensity; ""he turned up the volume""","nearer to the speaker; ""he walked up and grabbed my lapels""","to a more central or a more northerly place; ""was transferred up to headquarters""; ""up to Canada for a vacation""","to a later time; ""they moved the meeting date up""; ""from childhood upward""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
into,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
year,"a period of time containing 365 (or 366) days; ""she is 4 years old""; ""in the year 1920""","a period of time occupying a regular part of a calendar year that is used for some particular activity; ""a school year""","the period of time that it takes for a planet (as, e.g., Earth or Mars) to make a complete revolution around the sun; ""a Martian year takes 687 of our days""","a body of students who graduate together; ""the class of '97""; ""she was in my year at Hoehandle High""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
other,"not the same one or ones already mentioned or implied; ""today isn't any other day""- the White Queen; ""the construction of highways and other public works""; ""he asked for other employment""; ""any other person would tell the truth""; ""his other books are still in storage""; ""then we looked at the other house""; ""hearing was good in his other ear""; ""the other sex""; ""she lived on the other side of the street from me""; ""went in the other direction""","recently past; ""the other evening""","belonging to the distant past; ""the early inhabitants of Europe""; ""former generations""; ""in other times""","very unusual; different in character or quality from the normal or expected; ""a strange, other dimension...where his powers seemed to fail""- Lance Morrow",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,"(baseball) a failure by a batter or runner to reach a base safely in baseball; ""you only get 3 outs per inning""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
could,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
some,"(of quantities) imprecise but fairly close to correct; ""lasted approximately an hour""; ""in just about a minute""; ""he's about 30 years old""; ""I've had about all I can stand""; ""we meet about once a month""; ""some forty people came""; ""weighs around a hundred pounds""; ""roughly $3,000""; ""holds 3 gallons, more or less""; ""20 or so people were at the party""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
new,"very recently; ""they are newly married""; ""newly raised objections""; ""a newly arranged hairdo""; ""grass new washed by the rain""; ""a freshly cleaned floor""; ""we are fresh out of tomatoes""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
that,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
know,"the fact of being aware of information that is known to few people; ""he is always in the know""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
these,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
take,"the income or profit arising from such transactions as the sale of land or other property; ""the average return was about 5%""",the act of photographing a scene or part of a scene without interruption,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
see,the seat within a bishop's diocese where his cathedral is located,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
get,a return on a shot that seemed impossible to reach and would normally have resulted in a point for the opponent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
come,the thick white fluid containing spermatozoa that is ejaculated by the male genital tract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
only,"and nothing more; ""I was merely asking""; ""it is simply a matter of time""; ""just a scratch""; ""he was only a child""; ""hopes that last but a moment""","without any others being included or involved; ""was entirely to blame""; ""a school devoted entirely to the needs of problem children""; ""he works for Mr. Smith exclusively""; ""did it solely for money""; ""the burden of proof rests on the prosecution alone""; ""a privilege granted only to him""","with nevertheless the final result; ""He arrived only to find his wife dead""; ""We won only to lose again in the next round""","in the final outcome; ""These news will only make you more upset""","except that; ""It was the same story; only this time she came out better""","never except when; ""call me only if your cold gets worse""","as recently as; ""I spoke to him only an hour ago""",,,,,,,,,,,,,,,,,,,,,,,,,,
two,the cardinal number that is the sum of one and one or a numeral representing this number,one of the four playing cards in a deck that have two spots,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
any,"to any degree or extent; ""it isn't any better""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
state,"the territory occupied by one of the constituent administrative districts of a nation; ""his state is in the deep south""","the way something is with respect to its main attributes; ""the current state of knowledge""; ""his state of health""; ""in a weak financial state""","the group of people comprising the government of a sovereign state; ""the state has lowered its income tax""","a politically organized body of people under a single government; ""the state has elected a new president""; ""African nations""; ""students who had come to the nation's capitol""; ""the country's largest manufacturer""; ""an industrialized land""","(chemistry) the three traditional states of matter are solids (fixed shape and volume) and liquids (fixed volume and shaped by the container) and gases (filling the container); ""the solid state of water is called ice""","a state of depression or agitation; ""he was in such a state you just couldn't reason with him""","the territory occupied by a nation; ""he returned to the land of his birth""; ""he visited several European countries""","the federal department in the United States that sets and maintains foreign policies; ""the Department of State was created in 1789""",,,,,,,,,,,,,,,,,,,,,,,,,
give,the elasticity of something that can be stretched and returns to its original length,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
now,"the momentary present; ""Now is a good time to do it""; ""it worked up to right now""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
may,the month following April and preceding June,thorny Eurasian shrub of small tree having dense clusters of white to scarlet flowers followed by deep red berries; established as an escape in eastern North America,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
than,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
then,"that time; that moment; ""we will arrive before then""; ""we were friends from then on""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
also,"in addition; ""he has a Mercedes, too""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
find,a productive insight,the act of discovering something,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
as,a very poisonous metallic element that has three allotropic forms; arsenic and arsenic compounds are used as herbicides and insecticides and various alloys; found in arsenopyrite and orpiment and realgar,a United States territory on the eastern part of the island of Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,"how something is done or how it happens; ""her dignified manner""; ""his rapid manner of talking""; ""their nomadic mode of existence""; ""in the characteristic New York style""; ""a lonely way of life""; ""in an abrasive fashion""","how a result is obtained or an end is achieved; ""a means of control""; ""an example is the best agency of instruction""; ""the true way to success""","a line leading to a place or point; ""he looked the other direction""; ""didn't know the way home""","the condition of things generally; ""that's the way it is""; ""I felt the same way""","a course of conduct; ""the path of virtue""; ""we went our separate ways""; ""our paths in life led us apart""; ""genius usually follows a revolutionary path""","any artifact consisting of a road or path affording passage from one place to another; ""he said he was looking for the way out""","a journey or passage; ""they are on the way""","space for movement; ""room to pass""; ""make way for""; ""hardly enough elbow room to turn around""","the property of distance in general; ""it's a long way to Moscow""; ""he went a long ways""","doing as one pleases or chooses; ""if I had my way""","a general category of things; used in the expression `in the way of'; ""they didn't have much in the way of clothing""","a portion of something divided into shares; ""they split the loot three ways""",,,,,,,,,,,,,,,,,,,,,
day,"time for Earth to make a complete rotation on its axis; ""two days later they left""; ""they put on two performances every day""; ""there are 30,000 passengers per day""","some point or period in time; ""it should arrive any day now""; ""after that day she never trusted him again""; ""those were the days""; ""these days it is not unusual""","a day assigned to a particular purpose or observance; ""Mother's Day""","the time after sunrise and before sunset while it is light outside; ""the dawn turned night into day""; ""it is easier to make the repairs in the daytime""","the recurring hours when you are not sleeping (especially those when you are working); ""my day began early this morning""; ""it was a busy day on the stock exchange""; ""she called it a day and went to bed""","an era of existence or influence; ""in the day of the dinosaurs""; ""in the days of the Roman Empire""; ""in the days of sailing ships""; ""he was a successful pianist in his day""","the period of time taken by a particular planet (e.g. Mars) to make a complete rotation on its axis; ""how long is a day on Jupiter?""","the time for one complete rotation of the earth relative to a particular star, about 4 minutes shorter than a mean solar day","a period of opportunity; ""he deserves his day in court""; ""every dog has his day""",United States writer best known for his autobiographical works (1874-1935),,,,,,,,,,,,,,,,,,,,,,,
first,"the first or highest in an ordering or series; ""He wanted to be the first""","the first element in a countable series; ""the first of the month""","the time at which something is supposed to begin; ""they got an early start""; ""she knew from the get-go that he was the man for her""",the fielding position of the player on a baseball team who is stationed at first of the bases in the infield (counting counterclockwise from home plate),an honours degree of the highest class,the lowest forward gear ratio in the gear box of a motor vehicle; used to start a car moving,,,,,,,,,,,,,,,,,,,,,,,,,,,
even,"the latter part of the day (the period of decreasing daylight from late afternoon until nightfall); ""he enjoyed the evening light across the lake""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
use,"the act of using; ""he warned against the use of narcotic drugs""; ""skilled in the utilization of computers""","what something is used for; ""the function of an auger is to bore holes""; ""ballet is beautiful but what use is it?""","a particular service; ""he put his knowledge to good use""; ""patrons have their uses""","(economics) the utilization of economic goods to satisfy needs or in manufacturing; ""the consumption of energy has increased steadily""","(psychology) an automatic pattern of behavior in reaction to a specific situation; may be inherited or acquired through frequent repetition; ""owls have nocturnal habits""; ""she had a habit twirling the ends of her hair""; ""long use had hardened him to it""","exerting shrewd or devious influence especially for one's own advantage; ""his manipulation of his friends was scandalous""","(law) the exercise of the legal right to enjoy the benefits of owning property; ""we were given the use of his boat""",,,,,,,,,,,,,,,,,,,,,,,,,,
first,"the first or highest in an ordering or series; ""He wanted to be the first""","the first element in a countable series; ""the first of the month""","the time at which something is supposed to begin; ""they got an early start""; ""she knew from the get-go that he was the man for her""",the fielding position of the player on a baseball team who is stationed at first of the bases in the infield (counting counterclockwise from home plate),an honours degree of the highest class,the lowest forward gear ratio in the gear box of a motor vehicle; used to start a car moving,,,,,,,,,,,,,,,,,,,,,,,,,,,
more,"English statesman who opposed Henry VIII's divorce from Catherine of Aragon and was imprisoned and beheaded; recalled for his concept of Utopia, the ideal state",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
many,"a quantifier that can be used with count nouns and is often preceded by `as' or `too' or `so' or `that'; amounting to a large but indefinite number; ""many temptations""; ""the temptations are many""; ""a good many""; ""a great many""; ""many directions""; ""take as many apples as you like""; ""too many clouds to see""; ""never saw so many people""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
must,"a necessary or essential thing; ""seat belts are an absolute must""",grape juice before or during fermentation,the quality of smelling or tasting old or stale or mouldy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
think,"an instance of deliberate thinking; ""I need to give it a good think""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
such,"to so extreme a degree; ""he is such a baby""; ""Such rich people!""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
like,"a similar kind; ""dogs, foxes, and the like"", ""we don't want the likes of you around here""","a kind of person; ""We'll not see his like again""; ""I can't tolerate people of his ilk""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
should,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
so,the syllable naming the fifth (dominant) note of any musical scale in solmization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
through,"from beginning to end; ""read this book through""","over the whole distance; ""this bus goes through to New York""","to completion; ""think this through very carefully!""","in diameter; ""this cylinder measures 15 inches through""","throughout the entire extent; ""got soaked through in the rain""; ""I'm frozen through""; ""a letter shot through with the writer's personality""; ""knew him through and through""; ""boards rotten through and through""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
more,"English statesman who opposed Henry VIII's divorce from Catherine of Aragon and was imprisoned and beheaded; recalled for his concept of Utopia, the ideal state",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
people,"(plural) any group of human beings (men or women or children) collectively; ""old people""; ""there were at least 200 people in the audience""","the body of citizens of a state or country; ""the Spanish people""","members of a family line; ""his people have been farmers for generations""; ""are your people still alive?""","the common people generally; ""separate the warriors from the mass""; ""power to the people""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
those,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
over,(cricket) the division of play during which six balls are bowled at the batsman by one player from the other team from the same end of the pitch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
where,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
just,"and nothing more; ""I was merely asking""; ""it is simply a matter of time""; ""just a scratch""; ""he was only a child""; ""hopes that last but a moment""","indicating exactness or preciseness; ""he was doing precisely (or exactly) what she had told him to do""; ""it was just as he said--the jewel was gone""; ""it has just enough salt""","only a moment ago; ""he has just arrived""; ""the sun just now came out""","absolutely; ""I just can't take it anymore""; ""he was just grand as Romeo""; ""it's simply beautiful!""","only a very short time before; ""they could barely hear the speaker""; ""we hardly knew them""; ""just missed being hit""; ""had scarcely rung the bell when the door flew open""; ""would have scarce arrived before she would have found some excuse to leave""- W.B.Yeats","exactly at this moment or the moment described; ""we've just finished painting the walls, so don't touch them"";",,,,,,,,,,,,,,,,,,,,,,,,,,,
seem,"give a certain impression or have a certain outward aspect; ""She seems to be sleeping""; ""This appears to be a very difficult problem""; ""This project looks fishy""; ""They appeared like people who had not eaten or slept for a long time""","seem to be true, probable, or apparent; ""It seems that he is very gifted""; ""It appears that the weather in California is very bad""","appear to exist; ""There seems no reason to go ahead with the project now""","appear to one's own mind or opinion; ""I seem to be misunderstood by everyone""; ""I can't seem to learn these Chinese characters""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
life,"a characteristic state or mode of living; ""social life""; ""city life""; ""real life""","the experience of being alive; the course of human events and activities; ""he could no longer cope with the complexities of life""","the course of existence of an individual; the actions and events that occur in living; ""he hoped for a new life in Australia""; ""he wanted to live his own life without interference from others""","the condition of living or the state of being alive; ""while there's life there's hope""; ""life depends on many chemical and physical processes""","the period during which something is functional (as between birth and death); ""the battery had a short life""; ""he lived a long and happy life""","the period between birth and the present time; ""I have known him all his life""","the period from the present until death; ""he appointed himself emperor for life""","a living person; ""his heroism saved a life""","animation and energy in action or expression; ""it was a heavy play and the actors tried in vain to give life to it""","living things collectively; ""the oceans are teeming with life""","the organic phenomenon that distinguishes living organisms from nonliving ones; ""there is no life on the moon""",an account of the series of events making up a person's life,"a motive for living; ""pottery was his life""","a prison term lasting as long as the prisoner lives; ""he got life for killing the guard""",,,,,,,,,,,,,,,,,,,
good,"benefit; ""for your own good""; ""what's the good of worrying?""","moral excellence or admirableness; ""there is much good to be found in people""","that which is pleasing or valuable or useful; ""weigh the good against the bad""; ""among the highest goods of all are happiness and self-realization""",articles of commerce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
each,"to or from every one of two or more (considered individually); ""they received $10 each""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
become,"enter or assume a certain state or condition; ""He became annoyed when he heard the bad news""; ""It must be getting more serious""; ""her face went red with anger""; ""She went into ecstasy""; ""Get going!""","undergo a change or development; ""The water turned into ice""; ""Her former friend became her worst enemy""; ""He turned traitor""","come into existence; ""What becomes has duration""","enhance the appearance of; ""Mourning becomes Electra""; ""This behavior doesn't suit you!""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
back,"the posterior part of a human (or animal) body from the neck to the end of the spine; ""his back was nicely tanned""","the side that goes last or is not normally seen; ""he wrote the date on the back of the photograph""","the part of something that is furthest from the normal viewer; ""he stood at the back of the stage""; ""it was hidden in the rear of the store""",(football) a person who plays in the backfield,"the series of vertebrae forming the axis of the skeleton and protecting the spinal cord; ""the fall broke his back""","the protective covering on the front, back, and spine of a book; ""the book had a leather binding""","the part of a garment that covers the back of your body; ""they pinned a `kick me' sign on his back""","a support that you can lean against while sitting; ""the back of the dental chair was adjustable""",(American football) the position of a player on a football team who is stationed behind the line of scrimmage,,,,,,,,,,,,,,,,,,,,,,,,
world,"everything that exists anywhere; ""they study the evolution of the universe""; ""the biggest tree in existence""","people in general; especially a distinctive group of people with some shared interest; ""the Western world""","all of your experiences that determine how things appear to you; ""his world was shattered""; ""we live in different worlds""; ""for them demons were as much a part of reality as trees were""","the 3rd planet from the sun; the planet we live on; ""the Earth moves around the sun""; ""he sailed around the world""","people in general considered as a whole; ""he is a hero in the eyes of the public""","a part of the earth that can be considered separately; ""the outdoor world""; ""the world of insects""","the concerns of this life as distinguished from heaven and the afterlife; ""they consider the church to be independent of the world""","all of the living human inhabitants of the earth; ""all the world loves a lover""; ""she always used `humankind' because `mankind' seemed to slight the women""",,,,,,,,,,,,,,,,,,,,,,,,,
here,"the present location; this place; ""where do we go from here?""",queen of the Olympian gods in ancient Greek mythology; sister and wife of Zeus remembered for her jealously of the many mortal women Zeus fell in love with; identified with Roman Juno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
between,"in the interval; ""dancing all the dances with little rest between""","in between; ""two houses with a tree between""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
both,"(used with count nouns) two considered together; the two; ""both girls are pretty""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
